Module_Code,Source,Course_Level,Duration,Prerequisites,Prework,Course_Learning_Material,Course_Learning_Material_Link,Type_Free_Paid
CLMG013,Google Cloud Skills Boost,Beginners,1 hour 30 minutes,No,No,Data Engineer - Quest: Build and Optimize Data Warehouses with BigQuery,https://www.cloudskillsboost.google/focuses/14341?catalog_rank=%7B%22rank%22%3A1%2C%22num_filters%22%3A0%2C%22has_search%22%3Atrue%7D&parent=catalog&search_id=25346367,Free during the mentorship program
CLMG014,Google Cloud Skills Boost,Intermediate,6 hours,No,No,Data Engineer - Quest: Engineer Data in Google Cloud,https://www.cloudskillsboost.google/quests/132?catalog_rank=%7B%22rank%22%3A2%2C%22num_filters%22%3A0%2C%22has_search%22%3Atrue%7D&search_id=25346300,Free during the mentorship program
CLMG015,Google Cloud Skills Boost,Intermediate,4 hours,No,No,Data Engineer - Quest: Data Engineer,https://www.cloudskillsboost.google/quests/25?catalog_rank=%7B%22rank%22%3A1%2C%22num_filters%22%3A0%2C%22has_search%22%3Atrue%7D&search_id=25346300,Free during the mentorship program
CLMGA01,Google Cloud Skills Boost,Beginner,4 hours,No,No,Introduction to Generative AI Learning Path,https://www.cloudskillsboost.google/journeys/118,Free
CLMGA02,Google Cloud Skills Boost,Beginner to Intermediate,10 hours,Yes,No,Generative AI for Developers Learning Path,https://www.cloudskillsboost.google/journeys/183,Free
DLA:ai-for-everyone,DeepLearning.AI,Beginner,6 hours,No,Yes,AI for Everyone,https://www.deeplearning.ai//courses/ai-for-everyone,Free
DLA:ai-for-medicine-specialization,DeepLearning.AI,Intermediate,3 months,Yes,Yes,AI for Medicine,https://www.deeplearning.ai//courses/ai-for-medicine-specialization,Paid
DLA:deep-learning-specialization,DeepLearning.AI,Intermediate,6 months,Yes,Yes,Deep Learning Specialization,https://www.deeplearning.ai//courses/deep-learning-specialization,Paid
DLA:natural-language-processing-specialization,DeepLearning.AI,Intermediate,4 months,Yes,Yes,Natural Language Processing,https://www.deeplearning.ai//courses/natural-language-processing-specialization,Paid
DLA:tensorflow-developer-professional-certificate,DeepLearning.AI,Intermediate,2 - 4 weeks,No,Yes,TensorFlow Developer Professional Certificate,https://www.deeplearning.ai//courses/tensorflow-developer-professional-certificate,Paid
DLA:tensorflow-data-and-deployment-specialization,DeepLearning.AI,Intermediate,2 - 6 Months,Yes,Yes,TensorFlow: Data and Deployment,https://www.deeplearning.ai//courses/tensorflow-data-and-deployment-specialization,Paid
DLA:generative-adversarial-networks-gans-specialization,DeepLearning.AI,Intermediate,3 months,Yes,Yes,Generative Adversarial Networks (GANs),https://www.deeplearning.ai//courses/generative-adversarial-networks-gans-specialization,Paid
DLA:tensorflow-advanced-techniques-specialization,DeepLearning.AI,Intermediate,5 months,Yes,No,TensorFlow: Advanced Techniques,https://www.deeplearning.ai//courses/tensorflow-advanced-techniques-specialization,Paid
DLA:machine-learning-specialization,"DeepLearning.AI,Stanford Online",Beginner,2.5 Months,Yes,Yes,Machine Learning Specialization,https://www.deeplearning.ai//courses/machine-learning-specialization,Paid
DLA:mathematics-for-machine-learning-and-data-science-specialization,DeepLearning.AI,Beginner,,Yes,Yes,Mathematics for Machine Learning and Data Science,https://www.deeplearning.ai//courses/mathematics-for-machine-learning-and-data-science-specialization,Paid
DLA:ai-for-good,DeepLearning.AI,Beginner,2 - 4 Weeks,Yes,Yes,AI for Good,https://www.deeplearning.ai//courses/ai-for-good,Paid
DLA:chatgpt-prompt-engineering-for-developers,"OpenAI,DeepLearning.AI",Beginner,1 Hour,Yes,Yes,ChatGPT Prompt Engineering for Developers,https://www.deeplearning.ai//short-courses/chatgpt-prompt-engineering-for-developers,Paid
DLA:building-systems-with-chatgpt,"OpenAI,DeepLearning.AI",Beginner,1 hour,Yes,Yes,Building Systems with the ChatGPT API,https://www.deeplearning.ai//short-courses/building-systems-with-chatgpt,Paid
DLA:langchain-for-llm-application-development,"LangChain,DeepLearning.AI",Beginner,1 Hour,Yes,Yes,LangChain for LLM Application Development,https://www.deeplearning.ai//short-courses/langchain-for-llm-application-development,Paid
DLA:how-diffusion-models-work,DeepLearning.AI,Intermediate,1 Hour,Yes,Yes,How Diffusion Models Work,https://www.deeplearning.ai//short-courses/how-diffusion-models-work,Paid
DLA:generative-ai-with-llms,"AWS,DeepLearning.AI",Intermediate,,Yes,Yes,Generative AI with LLMs,https://www.deeplearning.ai//courses/generative-ai-with-llms,Paid
DLA:langchain-chat-with-your-data,"LangChain,DeepLearning.AI",Beginner,1 Hour,Yes,Yes,LangChain: Chat with Your Data,https://www.deeplearning.ai//short-courses/langchain-chat-with-your-data,Paid
DLA:building-generative-ai-applications-with-gradio,"DeepLearning.AI,Hugging Face",Beginner,1 Hour,Yes,Yes,Building Generative AI Applications with Gradio,https://www.deeplearning.ai//short-courses/building-generative-ai-applications-with-gradio,Paid
DLA:evaluating-debugging-generative-ai,"Weights & Biases,DeepLearning.AI",Intermediate,1 Hour,Yes,Yes,Evaluating and Debugging Generative AI Models Using Weights and Biases,https://www.deeplearning.ai//short-courses/evaluating-debugging-generative-ai,Paid
DLA:large-language-models-semantic-search,"Cohere,DeepLearning.AI",Beginner,1 Hour,Yes,Yes,Large Language Models with Semantic Search,https://www.deeplearning.ai//short-courses/large-language-models-semantic-search,Paid
DLA:finetuning-large-language-models,"Lamini,DeepLearning.AI",Intermediate,1 Hour,Yes,Yes,Finetuning Large Language Models,https://www.deeplearning.ai//short-courses/finetuning-large-language-models,Paid
DLA:microsoft-semantic-kernel,"Microsoft,DeepLearning.AI",Beginner,1 Hour,Yes,Yes,How Business Thinkers Can Start Building AI Plugins With Semantic Kernel,https://www.deeplearning.ai//short-courses/microsoft-semantic-kernel,Paid
DLA:google-cloud-vertex-ai,"DeepLearning.AI,Google Cloud",Beginner,1 Hour,Yes,Yes,Understanding and Applying Text Embeddings,https://www.deeplearning.ai//short-courses/google-cloud-vertex-ai,Paid
DLA:pair-programming-llm,"Google,DeepLearning.AI",Beginner,1 Hour,Yes,Yes,Pair Programming with a Large Language Model,https://www.deeplearning.ai//short-courses/pair-programming-llm,Paid
DLA:generative-ai-for-everyone,DeepLearning.AI,Beginner,1 Hour,Yes,Yes,Generative AI for Everyone,https://www.deeplearning.ai//courses/generative-ai-for-everyone,Paid
DLA:functions-tools-agents-langchain,"LangChain,DeepLearning.AI",Intermediate,1 Hour,Yes,Yes,"Functions, Tools and Agents with LangChain",https://www.deeplearning.ai//short-courses/functions-tools-agents-langchain,Paid
DLA:vector-databases-embeddings-applications,"Weaviate,DeepLearning.AI",Intermediate,,Yes,Yes,Vector Databases: from Embeddings to Applications,https://www.deeplearning.ai//short-courses/vector-databases-embeddings-applications,Paid
DLA:quality-safety-llm-applications,"WhyLabs,DeepLearning.AI",Beginner,,Yes,Yes,Quality and Safety for LLM Applications,https://www.deeplearning.ai//short-courses/quality-safety-llm-applications,Paid
DLA:building-evaluating-advanced-rag,"LlamaIndex,DeepLearning.AI,TruEra",Beginner,,Yes,Yes,Building and Evaluating Advanced RAG Applications,https://www.deeplearning.ai//short-courses/building-evaluating-advanced-rag,Paid
DLA:reinforcement-learning-from-human-feedback,"DeepLearning.AI,Google Cloud",Intermediate,,Yes,Yes,Reinforcement Learning from Human Feedback,https://www.deeplearning.ai//short-courses/reinforcement-learning-from-human-feedback,Paid
DLA:advanced-retrieval-for-ai,"DeepLearning.AI,Chroma",Intermediate,,Yes,Yes,Advanced Retrieval for AI with Chroma,https://www.deeplearning.ai//short-courses/advanced-retrieval-for-ai,Paid
DLA:build-llm-apps-with-langchain-js,"LangChain,DeepLearning.AI",Intermediate,,Yes,Yes,Build LLM Apps with LangChain.js,https://www.deeplearning.ai//short-courses/build-llm-apps-with-langchain-js,Paid
