,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
363,Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Continuing Journey Towards Responsible AI-Video,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/4597819/video/387451,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process, Best Practices",2.0 minutes
364,Introduction to Generative,Google Cloud Skill Boost,Beginner,Free during mentorship period,Responsible AI: Applying AI Principles with Google Cloud-Continuing Journey Towards Responsible AI- Resource Links,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/4597819/documents/387452,"Responsible AI, Ethics, AI Ethics, Fairness, BIas, Transparency, Business Case, Responsible Innovation, Ethics Concerns, Review Process, Best Practices",15.0 minutes
365,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Image Generation,Medium to Hard,https://www.cloudskillsboost.google/course_templates/541,"Image Generation, GAN, Generative Adversarial Networks, Deep Learning, Neural Network, Image Synthesis, Computer Vision",15.0 minutes
366,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Image Generation-Video,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4413198/video/383842,"Image Generation, GAN, Generative Adversarial Networks, Deep Learning, Neural Network, Image Synthesis, Computer Vision",10.0 minutes
367,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Image Generation-Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4413198/quizzes/383843,"Image Generation, GAN, Generative Adversarial Networks, Deep Learning, Neural Network, Image Synthesis, Computer Vision",5.0 minutes
368,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Attention Mechanism,Medium to Hard,https://www.cloudskillsboost.google/course_templates/537,"Attention Mechanism, Neural Networks, Transformer Architecture, Attention Scores, Attention Weights, NLP",10.0 minutes
369,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Attention Mechanism-Overview,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4414897/video/383836,"Attention Mechanism, Neural Networks, Transformer Architecture, Attention Scores, Attention Weights, NLP",5.0 minutes
370,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Attention Mechanism-Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4414897/quizzes/383837,"Attention Mechanism, Neural Networks, Transformer Architecture, Attention Scores, Attention Weights, NLP",5.0 minutes
371,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture,Medium to Hard,https://www.cloudskillsboost.google/course_templates/543,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",42.0 minutes
372,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture: Overview,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4413462/video/383848,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",7.0 minutes
373,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture: Lab Walkthrough,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4413462/video/383849,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",20.0 minutes
374,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture: Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4413462/quizzes/383850,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",10.0 minutes
375,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Encoder-Decoder Architecture: Lab Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4413462/documents/383851,"Encode-Decoder, Sequence-to-Sequence, Deep Learning, Neural Network",5.0 minutes
376,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Transformer Model and BERT Models,Medium to Hard,https://www.cloudskillsboost.google/course_templates/538,"Tranformer Model, BERT, Birectional Encoder Representations from Transformer, NLP, Pre-trained Model, Self Attention",42.0 minutes
377,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Transformer Model and BERT Models: Overview,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415174/video/383838,"Tranformer Model, BERT, Birectional Encoder Representations from Transformer, NLP, Pre-trained Model, Self Attention",11.0 minutes
378,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Transformer Model and BERT Models: Lab Walkthrough,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415174/video/383839,"Tranformer Model, BERT, Birectional Encoder Representations from Transformer, NLP, Pre-trained Model, Self Attention",11.0 minutes
379,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Transformer Model and BERT Models: Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415174/quizzes/383840,"Tranformer Model, BERT, Birectional Encoder Representations from Transformer, NLP, Pre-trained Model, Self Attention",10.0 minutes
380,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Transformer Model and BERT Models: Lab Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415174/documents/383841,"Tranformer Model, BERT, Birectional Encoder Representations from Transformer, NLP, Pre-trained Model, Self Attention",10.0 minutes
381,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Create Image Captioning Model,Medium to Hard,https://www.cloudskillsboost.google/course_templates/542,"Image Captioning, Deep Learning, Convulutional Neural Networks, CNN, Recurrent Neural Network, RNN, Natural Language Generation, NLG",40.0 minutes
382,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Create Image Captioning Model: Overview,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415735/video/383844,"Image Captioning, Deep Learning, Convulutional Neural Networks, CNN, Recurrent Neural Network, RNN, Natural Language Generation, NLG",12.0 minutes
383,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Create Image Captioning Model: Lab Walkthrough,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415735/video/383845,"Image Captioning, Deep Learning, Convulutional Neural Networks, CNN, Recurrent Neural Network, RNN, Natural Language Generation, NLG",18.0 minutes
384,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Create Image Captioning Model: Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415735/quizzes/383846,"Image Captioning, Deep Learning, Convulutional Neural Networks, CNN, Recurrent Neural Network, RNN, Natural Language Generation, NLG",10.0 minutes
385,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Create Image Captioning Model: Lab Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415735/documents/383847,"Image Captioning, Deep Learning, Convulutional Neural Networks, CNN, Recurrent Neural Network, RNN, Natural Language Generation, NLG",10.0 minutes
386,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI Studio,Medium to Hard,https://www.cloudskillsboost.google/course_templates/552,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Generative AI Studio",40.0 minutes
387,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI Studio-Video,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415998/video/384246,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Generative AI Studio",15.0 minutes
388,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI Studio: Course Review-Reflection Cards,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415998/documents/384247,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Generative AI Studio",10.0 minutes
389,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI Studio: Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415998/quizzes/384248,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Generative AI Studio",10.0 minutes
390,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Introduction to Generative AI Studio: Reading List,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4415998/documents/384249,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Generative AI Studio",5.0 minutes
391,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Explorer-Vertex AI,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4968262/labs/408190,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Vertex AI",240.0 minutes
392,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Explorer-Vertex AI: Getting Started,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4968262/labs/408190,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Vertex AI",90.0 minutes
393,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Explorer-Vertex AI: Prompt Design,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4968262/labs/408191,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Vertex AI, Prompt Design",90.0 minutes
394,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Generative AI Explorer-Vertex AI: Getting Started with Generative AI Studio,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/4968262/labs/408192,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Vertex AI, Prompt Design",60.0 minutes
395,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Explore and Evaluate Models using Model Garden-Lab,Medium to Hard,https://www.cloudskillsboost.google/focuses/71938?parent=catalog,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Vertex AI, Prompt Design",60.0 minutes
396,Generative AI for Developers,Google Cloud Skill Boost,Beginner,Free during mentorship period,Prompt Design using PaLM-Lab,Medium to Hard,https://www.cloudskillsboost.google/focuses/71937?parent=catalog,"Generative AI, Deep Learning, Artificial Intelligence, AI, Image Generation, Text Generation, Vertex AI, PaLM, Prompt Design",90.0 minutes
397,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Serverless Data Processing with Dataflow: Foundations,Easy to Medium,https://cloudskillsboost.google/course_templates/218,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines",140.0 minutes
398,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Course Introduction,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325908,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines",1.0 minutes
399,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam and Dataflow Refresher,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325909,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Beam, Refresher",1.0 minutes
400,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Portability,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325910,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Beam, Refresher",10.0 minutes
401,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Portability: Introduction,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325910,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Beam, Refresher",2.0 minutes
402,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Portability: Runner v2,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325911,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Beam, Refresher, Runner v2",1.0 minutes
403,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Portability: Container Environments,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325912,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Beam, Refresher, Runner v2, Cross Language Transform",1.0 minutes
404,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Portability: Cross-Language Transforms,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325913,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",1.0 minutes
405,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Portability: Quiz - Beam Portability,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/quizzes/325914,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",5.0 minutes
406,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Separating Compute and Storage with Dataflow,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325915,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",9.0 minutes
407,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Separating Compute and Storage with Dataflow: Dataflow,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325915,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",1.0 minutes
408,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Separating Compute and Storage with Dataflow: Dataflow Shuffle Service,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325916,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",1.0 minutes
409,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Separating Compute and Storage with Dataflow: Dataflow Streaming Engine,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325917,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",1.0 minutes
410,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Separating Compute and Storage with Dataflow: Flexible Resource Scheduling,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325918,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",1.0 minutes
411,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Separating Compute and Storage with Dataflow: Quiz - Separating Compute and Storage with Dataflow,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/quizzes/325919,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",5.0 minutes
412,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,"IAM, Quotas, and Permissions",Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325920,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",17.0 minutes
413,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,"IAM, Quotas, and Permissions: IAM",Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325920,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",6.0 minutes
414,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,"IAM, Quotas, and Permissions: Quotas",Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325921,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Streaming, Shuffle, Scheduling, Storage",6.0 minutes
415,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,"IAM, Quotas, and Permissions: Quiz - IAM, Quotas, and Permissions",Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/quizzes/325922,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Permission, IAM, Quota",5.0 minutes
416,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Security,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325923,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Permission, IAM, Quota",90.0 minutes
417,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Security: Data Locality,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325923,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Permission, IAM, Quota",4.0 minutes
418,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Security: Shared VPC,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325924,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Permission, IAM, Quota",1.0 minutes
419,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Security: Private IPs,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325925,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Permission, IAM, Quota",1.0 minutes
420,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Security: CMEK,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325926,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Permission, IAM, Quota",2.0 minutes
421,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Security: Setup IAM and Networking for your Dataflow Jobs,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325926,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Permission, IAM, Quota",75.0 minutes
422,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Security: Quiz - Security,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/labs/325927,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, Permission, IAM, Quota",5.0 minutes
423,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Course Summary,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/video/325929,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines",3.0 minutes
424,Data Engineer - Serverless Data Processing with Dataflow: Foundations,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Additional Resources,Easy to Medium,https://www.cloudskillsboost.google/course_sessions/5145103/documents/325930,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines",2.0 minutes
425,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Serverless Data Processing with Dataflow: Develop Pipelines,Medium to Hard,https://www.cloudskillsboost.google/course_templates/229?catalog_rank=%7B%22rank%22%3A1%2C%22num_filters%22%3A0%2C%22has_search%22%3Atrue%7D&search_id=25346358,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines",35 to 36 hours
426,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Serverless Data Processing with Dataflow: Develop Pipelines: Introduction ,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103663,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines",4.0 minutes
427,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Concept Review,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103664,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, beam, pipeline, serverless, DoFn",195.0 minutes
428,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Concept Review: Beam Basics,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103664,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, beam, pipeline, serverless, DoFn",2.0 minutes
429,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Concept Review: Utility Transforms,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103665,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, beam, pipeline, serverless, DoFn",1.0 minutes
430,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Concept Review: DoFn Lifecycle,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103666,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, beam, pipeline, serverless, DoFn",4.0 minutes
431,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Concept Review: Serverless Data Processing with Dataflow - Writing an ETL pipeline using Apache Beam and Cloud Dataflow (Java),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/labs/103667,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, beam, pipeline, serverless, DoFn",90.0 minutes
432,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Concept Review: Serverless Data Processing with Dataflow - Writing an ETL Pipeline using Apache Beam and Cloud Dataflow (Python),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/labs/103668,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, beam, pipeline, serverless, DoFn",90.0 minutes
433,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Concept Review: Quiz 1 - Beam Concepts Review,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/quizzes/103669,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, beam, pipeline, serverless, DoFn",5.0 minutes
434,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Beam Concept Review: Module Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/documents/103670,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, beam, pipeline, serverless, DoFn",2.0 minutes
435,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,"Windows, Watermarks Triggers",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103671,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",515.0 minutes
436,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Windows,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103671,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",6.0 minutes
437,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Watermarks,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103672,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",8.0 minutes
438,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Triggers,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/video/103673,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",8.0 minutes
439,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Serverless Data Processing with Dataflow - Batch Analytics Pipelines with Cloud Dataflow (Java),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/labs/103674,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",120.0 minutes
440,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Serverless Data Processing with Dataflow - Batch Analytics Pipelines with Cloud Dataflow (Python),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/labs/103675,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",120.0 minutes
441,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Serverless Data Processing with Dataflow - Using Dataflow for Streaming Analytics (Java),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/labs/103676,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",120.0 minutes
442,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Serverless Data Processing with Dataflow - Using Dataflow for Streaming Analytics (Python),Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/labs/103677,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",120.0 minutes
443,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,"Quiz 2 - Windows, Watermarks Triggers",Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/quizzes/103678,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",10.0 minutes
444,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Module Resources,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5146048/documents/103679,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, watermark, processing, trigger",2.0 minutes
445,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103680,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",20.0 minutes
446,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks: Introduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103680,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",3.0 minutes
447,Data Engineer - Serverless Data Processing with Dataflow: Develop Pipelines,Google Cloud Skill Boost,Intermediate,Free during mentorship period,Sources & Sinks:: Text IO & File IO,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5287822/video/103681,"Cloud, Dataflow, Severless, Data Processing, Data Pipelines, source, sink, bigtable",3.0 minutes
