Course / Learning material,Source,Course Level,Type (Free or Paid),Module,Duration,"Module / Sub-module 
Difficulty level",Keywords / Tags / Skills / Interests / Categories,Links
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Using TF-GAN : TF-GAN Collab Tutorials,30 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, GAN, Generative AI, Generator, Discriminator, Generative model, discriminative model",https://developers.google.com/machine-learning/gan/programming-exercise
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Conclusion : Summary,5 minutes,Easy,"Machine Learning, Advance Machine Learning, Neural Network, GAN, Generative AI, Generator, Discriminator, Generative model, discriminative model",https://developers.google.com/machine-learning/gan/summary
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Image Classification,90-120 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN",https://developers.google.com/machine-learning/practica/image-classification
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Introduction : Image Classification,5 minutes,Easy,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering",https://developers.google.com/machine-learning/practica/image-classification
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Introduction - Machine Learning Practicum: Image Classification,4 minutes,Easy,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering",https://developers.google.com/machine-learning/practica/image-classification
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Convulutional Neural Networks,15 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering, convulutional filter, pooling, stride, ReLU",https://developers.google.com/machine-learning/practica/image-classification/convolutional-neural-networks
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Convulutional Neural Networks : Check Your Understanding,5 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering, convulutional filter, pooling, stride, ReLU",https://developers.google.com/machine-learning/practica/image-classification/check-your-understanding
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Convulutional Neural Networks - Exercise-1: Cat Vs Dog Classification,20 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering, convulutional filter, pooling, stride, ReLU",https://developers.google.com/machine-learning/practica/image-classification/exercise-1
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Preventing Overfitting,10 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering, Data Augmentation, Drop Out Regularization, Overfitting",https://developers.google.com/machine-learning/practica/image-classification/preventing-overfitting
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Preventing Overfitting - Exercise-2: Preventing Overfitting,20 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering, Data Augmentation, Drop Out Regularization, Overfitting",https://developers.google.com/machine-learning/practica/image-classification/exercise-2
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Leveraging Pre-trained Models,15 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering, Data Augmentation, Drop Out Regularization, Overfitting, Feature Extraction, Fine Tuning",https://developers.google.com/machine-learning/practica/image-classification/leveraging-pretrained-models
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Leveraging Pre-trained Models - Exercise-3: Feature Extraction & Fine Tuning,20 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN, Feature Engineering, Data Augmentation, Drop Out Regularization, Overfitting, Feature Extraction, Fine Tuning",https://developers.google.com/machine-learning/practica/image-classification/exercise-3
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Next Steps : Summary,5 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Image Classification, Convulutional Neural Network, CNN",https://developers.google.com/machine-learning/practica/image-classification/next-steps
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Fairness in Perspective API,90-120 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias",https://developers.google.com/machine-learning/practica/fairness-indicators
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Introduction : Fairness in Perspective API,3 minutes,Easy,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias",https://developers.google.com/machine-learning/practica/fairness-indicators
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Introduction : ML Practicum: Fairness in Perspective API Part I,4 minutes,Easy,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias",https://developers.google.com/machine-learning/practica/fairness-indicators
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Introduction - Exercise-1: Explore the Model,20 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias, What-If, fairness tools",https://developers.google.com/machine-learning/practica/fairness-indicators/exercise-1
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Pipointing the Bias,15 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias, What-If, fairness tools",https://developers.google.com/machine-learning/practica/fairness-indicators/pinpointing-bias
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Pipointing the Bias - ML Practicum: Fairness in Perspective API Part II,2 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias, What-If, fairness tools",https://developers.google.com/machine-learning/practica/fairness-indicators/pinpointing-bias
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Pipointing the Bias - Exercise-2: Remediate Bias,30 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias, What-If, fairness tools, fairness indicators",https://developers.google.com/machine-learning/practica/fairness-indicators/exercise-2
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Pipointing the Bias : Check Your Understanding,5 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias, What-If, fairness tools, fairness indicators",https://developers.google.com/machine-learning/practica/fairness-indicators/check-your-understanding
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Next Steps,2 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias, What-If, fairness tools, fairness indicators",https://developers.google.com/machine-learning/practica/fairness-indicators/next-steps
Machine Learning Advance Courses,Google Developers,Intermediate to Advanced,Free,Next Steps : ML Practicum: Fairness in Perspective API Part III,2 minutes,Medium to Hard,"Machine Learning, Advance Machine Learning, Neural Network, Fairness, AI, Bias, What-If, fairness tools, fairness indicators",https://developers.google.com/machine-learning/practica/fairness-indicators/next-steps
AI Ethics Resources,IBM,Beginners to Intermediate,Free,What is AI Ethics ?,3 minutes,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#What+is+AI+ethics%3F
AI Ethics Resources,IBM,Beginners to Intermediate,Free,What is AI Ethics ?,6 minutes,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#Establishing+principles+for+AI+ethics
AI Ethics Resources,IBM,Beginners to Intermediate,Free,Establishing Principles of AI Ethics,3 minutes,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#Primary+concerns+of+AI+today
AI Ethics Resources,IBM,Beginners to Intermediate,Free,Primary Concerns of AI Today,7 minutess,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#How+to+establish+AI+ethics
AI Ethics Resources,IBM,Beginners to Intermediate,Free,How to Establish AI Ethics,5 minutes,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#Organizations+that+promote+AI+ethics
AI Ethics Resources,IBM,Beginners to Intermediate,Free,Organizations that promote AI Ethics,3 minutes,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#IBM%E2%80%99s+point+of+view+on+AI+Ethics
AI Ethics Resources,IBM,Beginners to Intermediate,Free,IBM's point of view on AI Ethics,3 minutes,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#AI+ethics+and+IBM
AI Ethics Resources,IBM,Beginners to Intermediate,Free,AI Ethics and IBM,1 minutes,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#Related+solutions
AI Ethics Resources,IBM,Beginners to Intermediate,Free,Related Solution,1 minutes,Easy,"AI Ethics, Artificial Intelligence, AI, Responsible AI",https://www.ibm.com/topics/ai-ethics#Take+the+next+step%0A
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Practical Deep Learning for Coders,40-42 hours,Medium to Hard,"Deep Learning, Machine Learning,  NLP, Data Ethics",Practical Deep Learning
Fast.ai,Fast.ai,Intermediate to Advanced,Free,1: Getting started,1 minute,Easy,"Deep Learning, Machine Learning,  NLP, Data Ethics",https://course.fast.ai/Lessons/lesson1.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,1: Getting started: Video-Lesson 1: Practical Deep Learning for Coders 2022,90 minutes,Medium to Hard,"Deep Learning, Machine Learning,  NLP, Data Ethics",https://course.fast.ai/Lessons/lesson1.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,1: Getting started: How to complete lesson 1,2 minutes,Easy,"Deep Learning, Machine Learning,  NLP, Data Ethics",https://course.fast.ai/Lessons/lesson1.html#how-to-complete-lesson-1
Fast.ai,Fast.ai,Intermediate to Advanced,Free,1: Getting started: Resources,1 minutes,Medium to Hard,"Deep Learning, Machine Learning,  NLP, Data Ethics",https://course.fast.ai/Lessons/lesson1.html#resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,1: Getting started: Links,1 minutes,Easy,"Deep Learning, Machine Learning,  NLP, Data Ethics",https://course.fast.ai/Lessons/lesson1.html#links
Fast.ai,Fast.ai,Intermediate to Advanced,Free,1: Getting started: Links: If you need help,1 minutes,Easy,"Deep Learning, Machine Learning,  NLP, Data Ethics",https://course.fast.ai/Lessons/lesson1.html#if-you-need-help
Fast.ai,Fast.ai,Intermediate to Advanced,Free,2: Deployment,1 minutes,Easy,"Deep Learning, Machine Learning, Model Deployment",https://course.fast.ai/Lessons/lesson2.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,2: Deployment:  Video-Lesson 2: Practical Deep Learning for Coders 2022,80 minutes,Medium to Hard,"Deep Learning, Machine Learning, Model Deployment",https://course.fast.ai/Lessons/lesson2.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,2: Deployment:  Resourcces,2 minutes,Medium to Hard,"Deep Learning, Machine Learning, Model Deployment",https://course.fast.ai/Lessons/lesson2.html#resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,2: Deployment:  Link,1 minute,Medium to Hard,"Deep Learning, Machine Learning, Model Deployment",https://course.fast.ai/Lessons/lesson2.html#links
Fast.ai,Fast.ai,Intermediate to Advanced,Free,3: Neural net foundations,1 minute,easy,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals",https://course.fast.ai/Lessons/lesson3.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,3: Neural net foundations: Video-Lesson 3: Practical Deep Learning for Coders 2022,90 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals",https://course.fast.ai/Lessons/lesson3.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,3: Neural net foundations: Resources,2 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals",https://course.fast.ai/Lessons/lesson3.html#resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,3: Neural net foundations: Links from the lesson,1 minute,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals",https://course.fast.ai/Lessons/lesson3.html#links-from-the-lesson
Fast.ai,Fast.ai,Intermediate to Advanced,Free,4: Natural Language (NLP),2 minutes,Easy,"Deep Learning, Machine Learning, NLP",https://course.fast.ai/Lessons/lesson4.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,4: Natural Language (NLP): Video-Lesson 4: Practical Deep Learning for Coders 2022,100 minutes,Medium to Hard,"Deep Learning, Machine Learning, NLP",https://course.fast.ai/Lessons/lesson4.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,4: Natural Language (NLP): Resources,1 minute,Medium to Hard,"Deep Learning, Machine Learning, NLP",https://course.fast.ai/Lessons/lesson4.html#resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,5: From-scratch model,1 minute,Easy,"Deep Learning, Machine Learning, Model Deployment, Natural Language Processing (NLP), Convolutional Neural Networks (CNNs), Data Ethics, Clustering Algorithms",https://course.fast.ai/Lessons/lesson5.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,5: From-scratch model: Video-Lesson 5: Practical Deep Learning for Coders 2022,110 minutes,Medium to Hard,"Deep Learning, Machine Learning, Model Deployment, Natural Language Processing (NLP), Convolutional Neural Networks (CNNs), Data Ethics, Clustering Algorithms",https://course.fast.ai/Lessons/lesson5.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,5: From-scratch model: Lesson Notebooks,2 minutes,Medium to Hard,"Deep Learning, Machine Learning, Model Deployment, Natural Language Processing (NLP), Convolutional Neural Networks (CNNs), Data Ethics, Clustering Algorithms",https://course.fast.ai/Lessons/lesson5.html#lesson-notebooks
Fast.ai,Fast.ai,Intermediate to Advanced,Free,5: From-scratch model: Links from the Lesson,1 minute,Easy,"Deep Learning, Machine Learning, Model Deployment, Natural Language Processing (NLP), Convolutional Neural Networks (CNNs), Data Ethics, Clustering Algorithms",https://course.fast.ai/Lessons/lesson5.html#links-from-the-lesson
Fast.ai,Fast.ai,Intermediate to Advanced,Free,6: Random forests,1 minute,Easy,"Deep Learning, Machine Learning, Model Deployment, Natural Language Processing (NLP), Convolutional Neural Networks (CNNs), Data Ethics, Clustering Algorithms",https://course.fast.ai/Lessons/lesson6.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,6: Random forests: Video-Lesson 6: Practical Deep Learning for Coders 2022,110 minutes,Medium to Hard,"Deep Learning, Machine Learning, Model Deployment, Natural Language Processing (NLP), Convolutional Neural Networks (CNNs), Data Ethics, Clustering Algorithms",https://course.fast.ai/Lessons/lesson6.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,6: Random forests: Lesson Notebooks,2 minutes,Medium to Hard,"Deep Learning, Machine Learning, Model Deployment, Natural Language Processing (NLP), Convolutional Neural Networks (CNNs), Data Ethics, Clustering Algorithms",https://course.fast.ai/Lessons/lesson6.html#lesson-notebooks
Fast.ai,Fast.ai,Intermediate to Advanced,Free,6: Random forests: Links for the lesson,1 minute,Easy,"Deep Learning, Machine Learning, Model Deployment, Natural Language Processing (NLP), Convolutional Neural Networks (CNNs), Data Ethics, Clustering Algorithms",https://course.fast.ai/Lessons/lesson6.html#links-from-the-lesson
Fast.ai,Fast.ai,Intermediate to Advanced,Free,7: Collaborative filtering,1 minute,Easy,"Convolutional Neural Networks (CNNs), Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution, Research Papers, Computer Vision, Neural Network Fundamentals",https://course.fast.ai/Lessons/lesson7.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,7: Collaborative filtering: Video-Lesson 7: Practical Deep Learning for Coders 2022,110 minutes,Medium to Hard,"Convolutional Neural Networks (CNNs), Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution, Research Papers, Computer Vision, Neural Network Fundamentals",https://course.fast.ai/Lessons/lesson7.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,7: Collaborative filtering: Resources,2 minutes,Medium to Hard,"Convolutional Neural Networks (CNNs), Autoencoders, Model Initialization, Dropout Techniques, Bonus Content, Matrix Operations, Collaborative Filtering",https://course.fast.ai/Lessons/lesson7.html#resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,8: Convolutions (CNNs),1 minute,Easy,"Convolutional Neural Networks (CNNs), Autoencoders, Model Initialization, Dropout Techniques, Bonus Content, Matrix Operations, Collaborative Filtering",https://course.fast.ai/Lessons/lesson8.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,8: Convolutions (CNNs): Video-Lesson 8: Practical Deep Learning for Coders 2022,100 minutes,Medium to Hard,"Convolutional Neural Networks (CNNs), Autoencoders, Model Initialization, Dropout Techniques, Bonus Content, Matrix Operations, Collaborative Filtering",https://course.fast.ai/Lessons/lesson8.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,8: Convolutions (CNNs): Resources,2 minutes,Medium to Hard,"Convolutional Neural Networks (CNNs), Autoencoders, Model Initialization, Dropout Techniques, Bonus Content, Matrix Operations, Collaborative Filtering",https://course.fast.ai/Lessons/lesson8.html#resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Bonus: Data ethics,2 minutes,Easy,"Deep Learning, Machine Learning, Model Deployment, Data Science Ethics.",https://course.fast.ai/Lessons/lesson8a.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Bonus: Data ethics-Video: Ethics for Data Science,130 minutes,Medium to Hard,"Deep Learning, Machine Learning, Model Deployment, Data Science Ethics.",https://course.fast.ai/Lessons/lesson8a.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Bonus: Useful Links,2 minutes,Easy,"Deep Learning, Machine Learning, Model Deployment, Data Science Ethics.",https://course.fast.ai/Lessons/lesson8a.html#useful-links
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Summaries: Lesson 1,10 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/Summaries/lesson1.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Summaries: Lesson 2,10 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/Summaries/lesson2.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Summaries: Lesson 3,10 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/Summaries/lesson3.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Summaries: Lesson 4,10 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/Summaries/lesson4.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Summaries: Lesson 5,10 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/Summaries/lesson5.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Summaries: Lesson 6,10 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/Summaries/lesson6.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Summaries: Lesson 7,10 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/Summaries/lesson7.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Summaries: Lesson 8,10 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/Summaries/lesson8.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Part-2 Overview,3 minutes,Easy,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/part2.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Part-2 Overview: Content Summary,2 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/part2.html#content-summary
Fast.ai,Fast.ai,Intermediate to Advanced,Free,Part-2 Overview: Content Summary,5 minutes,Medium to Hard,"Deep Learning, Machine Learning, CNNs, Neural Network Fundamentals, Computer Vision",https://course.fast.ai/Lessons/part2.html#topics-covered
Fast.ai,Fast.ai,Intermediate to Advanced,Free,9: Stable Diffusion: What you need to know,3 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson9.html#what-you-need-to-know
Fast.ai,Fast.ai,Intermediate to Advanced,Free,9: Stable Diffusion: Lesson Overview,3 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson9.html#lesson-overview
Fast.ai,Fast.ai,Intermediate to Advanced,Free,9: Stable Diffusion: Concepts Discussed,3 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson9.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,9: Stable Diffusion: Video-Lesson 9: Practical Deep Learning for Coders 2022,140 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson9.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,9: Stable Diffusion: Lesson Resources,5 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson9.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,9: Stable Diffusion: Links from the Lesson,5 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson9.html#links-from-the-lesson
Fast.ai,Fast.ai,Intermediate to Advanced,Free,9: Stable Diffusion: Useful background on fast.ai courses,5 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson9.html#useful-background-on-fast.ai-courses
Fast.ai,Fast.ai,Intermediate to Advanced,Free,10: Diving Deeper,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson10.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,10: Diving Deeper: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson10.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,10: Diving Deeper: Video-Lesson 10: Practical Deep Learning for Coders 2022,110 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson10.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,10: Diving Deeper: Lesson Resources,2 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson10.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,10: Diving Deeper: Links from the lesson,2 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson10.html#links-from-the-lesson
Fast.ai,Fast.ai,Intermediate to Advanced,Free,11: Matrix multiplication,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson11.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,11: Matrix multiplication: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson11.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,11: Matrix multiplication: Video-Lesson 11: Practical Deep Learning for Coders 2022,130 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson11.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,11: Matrix multiplication: Lesson Resources,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson11.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,12: Mean shift clustering,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson12.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,12: Mean shift clustering: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson12.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,12: Mean shift clustering: Video-Lesson 12: Practical Deep Learning for Coders 2022,110 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson12.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,12: Mean shift clustering: Lesson Resources,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson12.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,13: Backpropagation & MLP,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson13.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,13: Backpropagation & MLP: Concepts Used,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson13.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,13: Backpropagation & MLP: Video 13 : Deep Learning Foundations to Stable Diffusion,110 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson13.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,13: Backpropagation & MLP: Lesson Resources,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson13.html#lesson-resources
Fast.ai,Fast.ai,Intermediate to Advanced,Free,14: Backpropagation,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson14.html
Fast.ai,Fast.ai,Intermediate to Advanced,Free,14: Backpropagation: Concepts Used,3 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson14.html#concepts-discussed
Fast.ai,Fast.ai,Intermediate to Advanced,Free,14: Backpropagation: Video 14 : Deep Learning Foundations to Stable Diffusion,110 minutes,Medium to Hard,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson14.html#video
Fast.ai,Fast.ai,Intermediate to Advanced,Free,15: Autoencoders,2 minutes,Easy,"Autoencoders, Model Initialization, Dropout Techniques, Attention Mechanisms, Super-resolution",https://course.fast.ai/Lessons/lesson15.html
