Course / Learning material,Source,Course Level,Type (Free or Paid),Module,Duration,"Module / Sub-module 
Difficulty level",Keywords / Tags / Skills / Interests / Categories,Links
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Video lecture,,Easy to Medium,"feature, crosses",https://developers.google.com/machine-learning/crash-course/feature-crosses/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Encoding Nonlinearity,25 mins,Easy to Medium,"feature, crosses, encoding, nonlinearity",https://developers.google.com/machine-learning/crash-course/feature-crosses/encoding-nonlinearity
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Crossing One-Hot Vectors,,Easy to Medium,"feature, crosses, one-hot vectors",https://developers.google.com/machine-learning/crash-course/feature-crosses/crossing-one-hot-vectors
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Playground Exercises,,Easy to Medium,"feature, crosses",https://developers.google.com/machine-learning/crash-course/feature-crosses/playground-exercises
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Feature Crosses - Programming Exercise,,Easy to Medium,"feature, crosses",https://developers.google.com/machine-learning/crash-course/feature-crosses/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - Playground Exercise: Overcrossing?,,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/playground-exercise-overcrossing
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - Video Lecture,35 mins,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - L2 Regularization,,Medium,"regularisation, simplicity, l2, regularisation",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/l2-regularization
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - Lambda,,Medium,"regularisation, simplicity, lambda",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/lambda
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Simplicity - Playground Exercise: L2 Regularization,,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/playground-exercise-examining-l2-regularization
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Logistic Regression - Video Lecture,,Easy to Medium,logistic regression,https://developers.google.com/machine-learning/crash-course/logistic-regression/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Logistic Regression - Calculating a Probability,35 mins,Easy to Medium,"logistic regression, probability",https://developers.google.com/machine-learning/crash-course/logistic-regression/calculating-a-probability
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Logistic Regression - Loss and Regularization,,Easy to Medium,"logistic regression, loss, regularisation",https://developers.google.com/machine-learning/crash-course/logistic-regression/model-training
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Video Lecture,,Easy to Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Thresholding,,Easy to Medium,"classification, threshold",https://developers.google.com/machine-learning/crash-course/classification/thresholding
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - True vs. False; Positive vs. Negative,,Easy to Medium,"classification, confusion matrix",https://developers.google.com/machine-learning/crash-course/classification/true-false-positive-negative
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Accuracy,,Easy to Medium,"classification, accuracy",https://developers.google.com/machine-learning/crash-course/classification/accuracy
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Precision and Recall,70 mins,Easy to Medium,"classification, precision, recall",https://developers.google.com/machine-learning/crash-course/classification/precision-and-recall
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,"Classification - Check Your Understanding: Accuracy, Precision, Recall",,Easy to Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/check-your-understanding-accuracy-precision-recall 
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - ROC Curve and AUC,,Easy to Medium,"classification, roc, roc curve, auc",https://developers.google.com/machine-learning/crash-course/classification/roc-and-auc
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Check Your Understanding: ROC and AUC,,Easy to Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/check-your-understanding-roc-and-auc
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Prediction Bias,,Easy to Medium,"classification, prediction, bias",https://developers.google.com/machine-learning/crash-course/classification/prediction-bias
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Classification - Programming Exercise,,Easy to Medium,classification,https://developers.google.com/machine-learning/crash-course/classification/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Sparcity - Video Lecture,,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Sparcity - L1 Regularization,40 mins,Medium,"regulisation, sparcity, l1, regularisation",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/l1-regularization
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Sparcity - Playground Exercise,,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/playground-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Regularization: Sparcity - Check Your Understanding,,Medium,"regulisation, sparcity",https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/check-your-understanding
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Neural Networks - Video Lecture,,Easy to Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Neural Networks - Structure,,Easy to Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/anatomy
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Neural Networks - Playground Exercises,,Easy to Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/playground-exercises
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Neural Networks - Programming Exercise,,Easy to Medium,neural networks,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Training Neural Networks - Video Lecture,20 mins,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/training-neural-networks/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Training Neural Networks - Best Practices,,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/training-neural-networks/best-practices
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Multi-class Neural Networks - Video Lecture,,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Multi-class Neural Networks - One vs. All,,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/one-vs-all
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Multi-class Neural Networks - Softmax,,Easy to Medium,"training, neural networks, softmax",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/softmax
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Multi-class Neural Networks - Programming Exercise,90 mins,Easy to Medium,"training, neural networks",https://developers.google.com/machine-learning/crash-course/multi-class-neural-networks/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Video Lecture,,Easy to Medium,embeddings,https://developers.google.com/machine-learning/crash-course/embeddings/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Motivation from Collaborative Filtering,,Easy to Medium,"embeddings, collaborative filtering",https://developers.google.com/machine-learning/crash-course/embeddings/motivation-from-collaborative-filtering
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Categorical Input Data,,Easy to Medium,"embeddings, categorical data",https://developers.google.com/machine-learning/crash-course/embeddings/categorical-input-data
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Translating to a Lower-Dimensional Space,,Easy to Medium,"embeddings, low dimensional space",https://developers.google.com/machine-learning/crash-course/embeddings/translating-to-a-lower-dimensional-space
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Embeddings - Obtaining Embeddings,,Easy to Medium,"embeddings, embeddings",https://developers.google.com/machine-learning/crash-course/embeddings/obtaining-embeddings
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Production ML Systems,3 mins,Medium,"production, ml systems",https://developers.google.com/machine-learning/crash-course/production-ml-systems
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Static versus Dynamic training,7 mins,Medium,"statis, dynamic, training",https://developers.google.com/machine-learning/crash-course/static-vs-dynamic-training/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Static versus Dynamic inferencing,7 mins,Medium,"statis, dynamic, inferencing",https://developers.google.com/machine-learning/crash-course/static-vs-dynamic-inference/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Data Dependencies,14 mins,Medium,"data, dependencies",https://developers.google.com/machine-learning/crash-course/data-dependencies/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness,70 mins,Easy to Medium,fairness,https://developers.google.com/machine-learning/crash-course/fairness/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness - Types of Bias,,Easy to Medium,"fairness, bias, types",https://developers.google.com/machine-learning/crash-course/fairness/types-of-bias
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness - Identifying Bias,,Easy to Medium,"fairness, identifying, bias",https://developers.google.com/machine-learning/crash-course/fairness/identifying-bias
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness - Evaluating for Bias,,Easy to Medium,"fairness, evualting, bias",https://developers.google.com/machine-learning/crash-course/fairness/evaluating-for-bias
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Fairness - Programming Exercise,,Easy to Medium,fairness,https://developers.google.com/machine-learning/crash-course/fairness/programming-exercise
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Cancer Prediction - ML Systems in the Real World,5 mins,Easy to Medium,"real world, cancer, prediction, ml systems",https://developers.google.com/machine-learning/crash-course/cancer-prediction
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Literature - ML Systems in the Real World,5 mins,Easy to Medium,"real world, literature, ml systems",https://developers.google.com/machine-learning/crash-course/18th-century-literature
