Course_Learning_Material,Source,Course_Level,Type,Module,Difficulty_Level,Keywords_Tags_Skills_Interests_Categories,Links,Duration_in_minutes
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Feature Crosses - Crossing One-Hot Vectors,Medium,"feature, crosses, one-hot vectors",https://developers.google.com/machine-learning/crash-course/feature-crosses/crossing-one-hot-vectors,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Feature Crosses - Playground Exercises,Medium,"feature, crosses",https://developers.google.com/machine-learning/crash-course/feature-crosses/playground-exercises,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Feature Crosses - Programming Exercise,Medium,"feature, crosses",https://developers.google.com/machine-learning/crash-course/feature-crosses/programming-exercise,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Simplicity - Playground Exercise: Overcrossing?,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/playground-exercise-overcrossing,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Simplicity - Video Lecture,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/video-lecture,35
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Simplicity - L2 Regularization,Medium,"regularisation, simplicity, l2, regularisation",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/l2-regularization,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Simplicity - Lambda,Medium,"regularisation, simplicity, lambda",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/lambda,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Regularization: Simplicity - Playground Exercise: L2 Regularization,Medium,"regularisation, simplicity",https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/playground-exercise-examining-l2-regularization,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Logistic Regression - Video Lecture,Medium,logistic regression,https://developers.google.com/machine-learning/crash-course/logistic-regression/video-lecture,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Logistic Regression - Calculating a Probability,Medium,"logistic regression, probability",https://developers.google.com/machine-learning/crash-course/logistic-regression/calculating-a-probability,35
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Logistic Regression - Loss and Regularization,Medium,"logistic regression, loss, regularisation",https://developers.google.com/machine-learning/crash-course/logistic-regression/model-training,
